M1,M2,M3,M4,R,P,E,RP,RE,PE,Y
5.446,2.603,2.621,5.19,1,2,4,2,4,8,2269.6
5.496,2.53,2.533,8.33,3,2,5,6,15,10,2269.93
5.317,2.897,3.094,9.07,1,5,6,5,6,30,2272.73
5.293,2.296,2.495,9.26,1,6,6,6,6,36,2276.89
5.185,1.577,2.117,7.85,3,2,7,6,21,14,2276.94
5.315,2.293,2.932,5.02,3,7,6,21,18,42,2277.78
5.211,3.033,2.337,8.13,4,1,6,4,24,6,2278.61
5.355,2.618,1.992,8.32,1,2,2,2,2,4,2280.38
5.185,1.577,2.117,7.85,3,2,7,6,21,14,2281.45
5.211,3.033,2.337,8.13,4,1,6,4,24,6,2281.86
5.425,3.053,2.722,3.3,3,1,6,3,18,6,2282.82
5.315,2.293,2.932,5.02,3,7,6,21,18,42,2283.37
5.355,2.618,1.992,8.32,1,2,2,2,2,4,2284.83
5.287,3.153,1.692,5.87,1,2,2,2,2,4,2291.78
5.287,3.153,1.692,5.87,1,2,2,2,2,4,2293.11
5.279,3.154,1.69,5.69,1,2,2,2,2,4,2296.41
5.234,2.639,2.521,8.97,4,6,6,24,24,36,2299.13
5.234,2.639,2.521,8.97,4,6,6,24,24,36,2304.44
5.144,2.902,2.484,5.42,4,2,6,8,24,12,2305.65
5.268,3.133,2.814,7.05,4,2,6,8,24,12,2309.63
5.172,2.9,2.489,7.9,4,2,6,8,24,12,2310.97
5.268,3.133,2.814,7.05,4,2,6,8,24,12,2312.82
5.411,2.032,1.917,6.69,1,2,7,2,7,14,2313.09
5.297,1.573,2.123,3.99,3,2,6,6,18,12,2313.49
5.297,1.573,2.123,3.99,3,2,6,6,18,12,2315.81
5.638,1.833,3.111,6.55,1,2,6,2,6,12,2317.32
5.31,2.381,1.958,8.17,3,2,7,6,21,14,2318.57
5.31,2.381,1.958,8.17,3,2,7,6,21,14,2318.87
5.638,1.833,3.111,6.55,1,2,6,2,6,12,2321.37
5.372,3.031,3.329,8.01,3,6,6,18,18,36,2323.05
5.473,2.536,2.528,7.35,3,2,6,6,18,12,2328.49
5.358,2.033,1.914,7.27,1,2,7,2,7,14,2337.31
5.377,2.029,1.908,8.41,1,2,7,2,7,14,2344.28
5.377,2.029,1.908,8.41,1,2,7,2,7,14,2344.57
5.612,1.835,3.109,6.33,1,2,6,2,6,12,2344.74
5.285,2.615,1.988,5.37,1,2,5,2,5,10,2348.87
5.285,2.615,1.988,5.37,1,2,5,2,5,10,2349.69
5.612,1.835,3.109,6.33,1,2,6,2,6,12,2349.95
5.434,2.034,1.909,8.07,1,2,6,2,6,12,2366.58
5.434,2.034,1.909,8.07,1,2,6,2,6,12,2367.62
5.061,2.972,2.352,6.12,4,2,6,8,24,12,2370.23
5.326,3.154,1.688,9.5,1,2,5,2,5,10,2374.25
5.061,2.972,2.352,6.12,4,2,6,8,24,12,2376.11
5.326,3.154,1.688,9.5,1,2,5,2,5,10,2379.43
