M1,M2,M3,M4,R,P,E,RP,RE,PE,Y
5.461,1.767,2.475,8.76,3,5,4,15,12,20,1986.71
5.473,2.377,2.555,9.67,1,1,4,1,4,4,1986.75
5.308,1.908,2.569,5.7,1,5,3,5,3,15,1986.81
5.268,1.72,2.611,7.22,3,6,4,18,12,24,1986.91
5.256,1.862,2.524,9.73,4,3,1,12,4,3,1987.17
5.473,2.377,2.555,9.67,1,1,4,1,4,4,1987.79
5.347,2.182,1.928,8.48,4,4,3,16,12,12,1987.91
5.173,1.498,2.335,9.05,4,2,3,8,12,6,1988.13
5.44,2.778,2.471,5.3,2,7,2,14,4,14,1988.48
5.644,1.351,2.529,7.65,4,1,7,4,28,7,1988.63
5.554,2.015,2.746,9.02,2,2,3,4,6,6,1988.76
5.402,2.148,2.228,5.42,5,2,3,10,15,6,1988.76
5.252,2.3,2.497,6.08,1,6,3,6,3,18,1988.93
5.554,2.015,2.746,9.02,2,2,3,4,6,6,1989.02
5.439,2.93,1.799,9.53,4,5,4,20,16,20,1989.07
5.331,2.916,2.165,5.57,4,7,4,28,16,28,1989.17
5.427,1.767,2.465,8.02,3,5,4,15,12,20,1989.64
5.608,2.409,2.382,8.71,1,5,2,5,2,10,1989.83
5.366,2.367,2.58,8.26,3,6,4,18,12,24,1990.06
5.347,2.182,1.928,8.48,4,4,3,16,12,12,1990.12
5.174,2.229,2.615,5.37,2,1,4,2,8,4,1990.2
5.35,2.678,2.234,4.33,2,5,1,10,2,5,1990.59
5.394,2.779,2.47,3.67,2,7,2,14,4,14,1991.04
5.444,2.819,2.256,4.83,4,4,2,16,8,8,1991.05
5.389,2.268,2.369,8.21,4,1,2,4,8,2,1991.06
5.392,1.973,1.94,9.91,1,4,2,4,2,8,1991.18
5.122,2.518,2.096,7.75,2,7,4,14,8,28,1991.22
5.42,2.271,2.364,6.62,4,1,2,4,8,2,1991.48
5.392,1.973,1.94,9.91,1,4,2,4,2,8,1991.95
5.461,1.767,2.475,8.76,3,5,4,15,12,20,1992.13
5.433,1.983,3.699,8.65,1,6,2,6,2,12,1992.15
5.481,2.069,3.145,7.91,1,5,1,5,1,5,1992.38
5.481,2.069,3.145,7.91,1,5,1,5,1,5,1992.47
5.42,2.271,2.364,6.62,4,1,2,4,8,2,1992.56
5.479,1.933,3.895,5.82,3,1,4,3,12,4,1992.64
5.696,1.74,3.608,5.65,4,6,7,24,28,42,1992.66
5.696,1.74,3.608,5.65,4,6,7,24,28,42,1992.75
5.311,2.558,1.956,9.03,4,7,2,28,8,14,1992.84
5.456,2.553,2.522,6.53,5,7,4,35,20,28,1992.97
5.468,2.377,2.561,6.19,1,1,3,1,3,3,1993.46
5.413,1.934,3.897,5.35,3,1,3,3,9,3,1993.6
5.366,2.367,2.58,8.26,3,6,4,18,12,24,1994.16
5.5,2.05,3.081,8.53,4,2,3,8,12,6,1994.2
5.185,1.876,1.973,3.99,2,7,5,14,10,35,1994.21
5.391,2.297,2.929,6.59,3,7,4,21,12,28,1994.25
5.427,1.767,2.465,8.02,3,5,4,15,12,20,1994.39
5.311,2.558,1.956,9.03,4,7,2,28,8,14,1994.51
5.606,2.067,3.151,8.99,1,5,3,5,3,15,1994.76
5.289,2.919,2.167,3.32,4,7,4,28,16,28,1994.87
5.606,2.067,3.151,8.99,1,5,3,5,3,15,1994.95
5.394,2.779,2.47,3.67,2,7,2,14,4,14,1995.01
5.512,2.238,2.542,5,2,6,5,12,10,30,1995.06
5.173,1.498,2.335,9.05,4,2,3,8,12,6,1995.09
5.413,1.934,3.897,5.35,3,1,3,3,9,3,1995.31
5.456,2.553,2.522,6.53,5,7,4,35,20,28,1995.5
5.292,1.5,2.331,9.91,4,2,3,8,12,6,1995.66
5.583,2.012,3.563,5.82,4,3,5,12,20,15,1995.66
5.572,1.875,2.783,9.69,5,6,7,30,35,42,1995.68
5.501,2.066,3.15,8.84,1,5,1,5,1,5,1995.7
5.645,1.741,3.606,7.5,4,6,5,24,20,30,1995.92
5.453,2.723,2.404,5.69,5,6,3,30,15,18,1995.92
5.645,1.741,3.606,7.5,4,6,5,24,20,30,1995.95
5.476,1.933,3.892,5.59,3,1,4,3,12,4,1996.02
5.468,2.377,2.561,6.19,1,1,3,1,3,3,1996.66
5.303,2.254,1.924,7.7,1,1,2,1,2,2,1997.21
5.416,1.981,3.7,6.61,1,6,4,6,4,24,1997.49
5.495,1.879,2.946,3.98,1,6,2,6,2,12,1997.73
5.378,2.104,2.872,5.78,1,5,4,5,4,20,1997.92
5.422,1.983,2.324,6.01,5,2,4,10,20,8,1998.02
5.701,1.743,3.603,6.08,4,6,7,24,28,42,1998.27
5.202,2.204,2.486,5.72,4,4,4,16,16,16,1998.87
5.511,2.052,3.079,3.25,4,2,4,8,16,8,1999.03
5.439,2.93,1.799,9.53,4,5,4,20,16,20,1999.45
5.389,1.631,2.613,9.07,4,4,5,16,20,20,1999.69
5.572,1.875,2.783,9.69,5,6,7,30,35,42,1999.71
5.368,1.636,2.955,9.58,2,2,3,4,6,6,1999.85
5.495,1.879,2.946,3.98,1,6,2,6,2,12,1999.86
5.416,1.981,3.7,6.61,1,6,4,6,4,24,1999.87
5.416,2.163,3.134,9.19,2,1,1,2,2,1,1999.94
5.58,1.545,3.288,3.88,5,1,7,5,35,7,2000.14
5.404,1.86,2.551,4.77,5,6,5,30,25,30,2000.15
5.305,2.146,2.224,4.96,5,2,2,10,10,4,2000.32
5.419,2.367,2.573,3.81,3,6,4,18,12,24,2000.36
5.58,1.545,3.288,3.88,5,1,7,5,35,7,2000.43
5.512,2.238,2.542,5,2,6,5,12,10,30,2000.49
5.241,1.948,2.96,8.18,2,1,3,2,6,3,2000.8
5.404,1.86,2.551,4.77,5,6,5,30,25,30,2000.89
5.274,1.943,2.953,3.84,2,1,1,2,2,1,2001.05
5.185,1.876,1.973,3.99,2,7,5,14,10,35,2001.05
5.39,1.889,2.402,8.92,4,4,5,16,20,20,2001.45
5.476,1.933,3.892,5.59,3,1,4,3,12,4,2001.47
5.274,2.918,2.164,3.52,4,7,1,28,4,7,2001.76
5.48,2.05,3.077,4.92,4,2,4,8,16,8,2002.02
5.202,2.204,2.486,5.72,4,4,4,16,16,16,2002.27
5.489,1.586,1.923,9.61,4,7,5,28,20,35,2002.56
5.419,2.367,2.573,3.81,3,6,4,18,12,24,2002.73
5.662,1.899,3.333,7.95,4,1,5,4,20,5,2002.9
5.489,1.586,1.923,9.61,4,7,5,28,20,35,2002.99
5.145,2.677,1.906,4.29,4,3,3,12,12,9,2003.03
5.249,2.558,1.961,4.02,4,7,2,28,8,14,2003.06
5.598,2.79,2.837,4.83,3,4,2,12,6,8,2003.09
5.378,2.104,2.872,5.78,1,5,4,5,4,20,2003.58
5.434,2.934,1.801,7.17,4,5,3,20,12,15,2003.73
5.598,2.79,2.837,4.83,3,4,2,12,6,8,2003.87
5.145,2.677,1.906,4.29,4,3,3,12,12,9,2003.98
5.447,2.466,2.019,7.47,1,6,1,6,1,6,2004
5.46,2.775,2.472,6.05,2,7,4,14,8,28,2004.52
5.56,2.555,2.517,4.64,5,7,5,35,25,35,2004.74
5.471,1.913,2.687,6.79,2,2,1,4,2,2,2004.99
5.297,2.896,3.094,3.9,1,5,4,5,4,20,2005.36
5.241,1.948,2.96,8.18,2,1,3,2,6,3,2005.43
5.447,2.466,2.019,7.47,1,6,1,6,1,6,2005.97
5.48,2.05,3.077,4.92,4,2,4,8,16,8,2006.14
5.161,1.871,1.971,6.91,2,7,1,14,2,7,2006.21
5.478,1.757,3.19,7.5,4,1,7,4,28,7,2006.36
5.368,1.636,2.955,9.58,2,2,3,4,6,6,2006.38
5.314,1.852,2.201,7,1,6,2,6,2,12,2006.46
5.332,2.564,1.955,3.56,4,7,4,28,16,28,2006.65
5.199,1.948,1.964,9.44,1,5,3,5,3,15,2007.63
5.345,1.905,2.566,9.51,1,5,3,5,3,15,2007.83
5.451,1.33,2.358,7.25,1,4,5,4,5,20,2007.96
5.297,2.896,3.094,3.9,1,5,4,5,4,20,2008.05
5.626,2.787,2.843,3.42,3,4,1,12,3,4,2008.43
5.451,1.33,2.358,7.25,1,4,5,4,5,20,2009.16
5.161,1.871,1.971,6.91,2,7,1,14,2,7,2009.29
5.179,3.033,2.334,4.24,4,1,3,4,12,3,2009.31
5.478,1.757,3.19,7.5,4,1,7,4,28,7,2009.34
5.345,1.905,2.566,9.51,1,5,3,5,3,15,2009.73
5.335,1.912,2.693,8.03,2,2,4,4,8,8,2009.75
5.393,2.333,2.378,5.24,1,3,2,3,2,6,2010.07
5.501,1.985,2.32,6.72,5,2,4,10,20,8,2010.56
5.57,2.013,3.562,5.69,4,3,7,12,28,21,2010.64
5.393,2.333,2.378,5.24,1,3,2,3,2,6,2010.66
5.391,2.061,2.795,5.93,5,6,5,30,25,30,2010.67
5.535,2.408,2.384,9.45,1,5,4,5,4,20,2011.02
5.175,2.234,2.615,5.02,2,1,1,2,2,1,2011.22
5.347,1.862,2.56,3.73,5,6,7,30,35,42,2011.24
5.357,1.639,2.944,9.1,2,2,2,4,4,4,2011.64
5.391,2.061,2.795,5.93,5,6,5,30,25,30,2011.64
5.314,1.852,2.201,7,1,6,2,6,2,12,2012.14
5.361,2.148,2.225,8.41,5,2,1,10,5,2,2012.29
5.52,2.41,2.381,9.65,1,5,4,5,4,20,2012.29
5.339,1.828,2.772,4.47,5,2,2,10,10,4,2012.31
5.457,1.887,2.407,4.09,4,4,5,16,20,20,2012.66
5.501,1.985,2.32,6.72,5,2,4,10,20,8,2012.77
5.277,1.72,2.617,5.04,3,6,1,18,3,6,2012.88
5.191,1.943,1.965,5.69,1,5,3,5,3,15,2012.95
5.56,2.555,2.517,4.64,5,7,5,35,25,35,2013.16
5.334,2.876,2.218,6.13,2,3,4,6,8,12,2013.21
5.337,2.872,2.215,9.53,2,3,4,6,8,12,2013.78
5.41,2.718,2.405,6.76,5,6,4,30,20,24,2014
5.337,2.872,2.215,9.53,2,3,4,6,8,12,2014.44
5.273,1.972,2.027,7.69,1,3,3,3,3,9,2014.66
5.271,2.297,2.499,9.12,1,6,4,6,4,24,2014.75
5.52,2.41,2.381,9.65,1,5,4,5,4,20,2015.28
5.457,1.887,2.407,4.09,4,4,5,16,20,20,2015.31
5.214,2.207,2.49,9.24,4,4,4,16,16,16,2015.41
5.486,1.544,3.283,7.57,5,1,6,5,30,6,2015.5
5.273,1.972,2.027,7.69,1,3,3,3,3,9,2015.57
5.175,2.234,2.615,5.02,2,1,1,2,2,1,2015.78
5.498,2.052,3.079,3.3,4,2,3,8,12,6,2015.8
5.337,2.112,2.577,3.43,3,6,2,18,6,12,2015.83
5.321,2.06,2.795,5.25,5,6,3,30,15,18,2015.98
5.588,1.901,2.878,6.83,5,2,3,10,15,6,2016.34
5.389,1.638,2.947,7.9,2,2,3,4,6,6,2016.39
5.361,2.148,2.225,8.41,5,2,1,10,5,2,2016.78
5.616,2.02,2.747,7.92,2,2,3,4,6,6,2017.02
5.562,1.666,2.618,6.57,2,3,5,6,10,15,2017.03
5.378,2.68,2.234,3.83,2,5,5,10,10,25,2017.18
5.535,2.408,2.384,9.45,1,5,4,5,4,20,2017.37
5.297,1.634,2.602,9.56,4,4,5,16,20,20,2017.39
5.476,2.378,2.56,9.22,1,1,2,1,2,2,2017.49
5.261,2.32,2.511,6.34,2,1,1,2,2,1,2017.51
5.616,2.02,2.747,7.92,2,2,3,4,6,6,2017.77
5.214,2.207,2.49,9.24,4,4,4,16,16,16,2018.14
5.423,2.1,2.602,7.61,3,7,2,21,6,14,2018.48
5.389,1.638,2.947,7.9,2,2,3,4,6,6,2018.81
5.498,2.052,3.079,3.3,4,2,3,8,12,6,2018.85
5.389,2.333,2.377,4.23,1,3,3,3,3,9,2019.1
5.407,2.246,2.619,3.01,3,1,1,3,3,1,2019.11
5.191,1.944,1.967,6.97,1,5,1,5,1,5,2019.14
5.319,1.971,2.025,5.89,1,3,4,3,4,12,2019.53
5.415,3.143,2.918,5.13,1,4,3,4,3,12,2019.87
5.319,1.971,2.025,5.89,1,3,4,3,4,12,2019.89
5.363,2.271,2.361,9.06,4,1,3,4,12,3,2020.07
5.407,2.246,2.619,3.01,3,1,1,3,3,1,2020.11
5.316,2.874,2.213,8.2,2,3,1,6,2,3,2020.18
5.736,1.902,3.334,6.52,4,1,5,4,20,5,2020.4
5.561,2.019,2.75,8.49,2,2,4,4,8,8,2020.41
5.49,2.721,2.403,4.83,5,6,5,30,25,30,2020.59
5.562,1.666,2.618,6.57,2,3,5,6,10,15,2020.99
5.316,2.874,2.213,8.2,2,3,1,6,2,3,2021.14
5.309,2.298,2.493,5.87,1,6,3,6,3,18,2021.55
5.225,2.073,2.053,4.82,4,7,7,28,28,49,2022.06
5.662,1.744,3.607,4.83,4,6,7,24,28,42,2022.35
5.305,2.547,2.526,7.95,4,3,1,12,4,3,2022.4
5.469,2.498,2.293,8.66,1,6,4,6,4,24,2022.4
5.476,2.378,2.56,9.22,1,1,2,1,2,2,2022.43
5.287,2.688,1.961,9.57,2,7,4,14,8,28,2022.48
5.221,1.945,1.967,9.08,1,5,4,5,4,20,2022.53
5.415,3.143,2.918,5.13,1,4,3,4,3,12,2022.62
5.261,2.32,2.511,6.34,2,1,1,2,2,1,2022.87
5.662,1.744,3.607,4.83,4,6,7,24,28,42,2023.17
5.411,1.694,2.293,5.92,1,6,5,6,5,30,2023.31
5.411,1.694,2.293,5.92,1,6,5,6,5,30,2023.43
5.191,1.944,1.967,6.97,1,5,1,5,1,5,2023.55
5.608,2.971,2.113,7.24,3,7,1,21,3,7,2023.56
5.49,2.721,2.403,4.83,5,6,5,30,25,30,2024.17
5.378,2.68,2.234,3.83,2,5,5,10,10,25,2024.33
5.489,1.557,2.786,3.98,5,2,7,10,35,14,2024.41
5.454,1.709,2.634,8.49,5,5,6,25,30,30,2024.54
5.387,2.318,2.995,6.72,3,4,1,12,3,4,2024.69
5.409,1.931,3.886,5.11,3,1,2,3,6,2,2024.72
5.233,2.253,1.917,7.95,1,1,2,1,2,2,2024.92
5.383,1.709,2.635,6.4,5,5,7,25,35,35,2025.09
5.539,2.556,2.514,6.56,1,3,2,3,2,6,2025.76
5.487,2.237,2.545,7.67,2,6,5,12,10,30,2025.84
5.536,1.355,1.859,5.87,1,6,5,6,5,30,2025.84
5.444,2.778,2.464,7.68,2,7,1,14,2,7,2026.07
5.324,2.18,2.141,3.56,4,1,7,4,28,7,2026.31
5.501,1.667,2.621,7.24,2,3,7,6,14,21,2026.34
5.437,1.77,2.469,9.57,3,5,2,15,6,10,2026.43
5.221,1.945,1.967,9.08,1,5,4,5,4,20,2026.44
5.143,2.536,2.086,3.38,1,7,3,7,3,21,2026.47
5.438,1.89,2.41,6.44,4,4,5,16,20,20,2026.51
5.539,2.556,2.514,6.56,1,3,2,3,2,6,2026.6
5.474,1.692,2.296,3.75,1,6,5,6,5,30,2026.65
5.188,1.501,2.33,9.42,4,2,3,8,12,6,2026.75
5.29,2.441,2.525,3.65,4,2,3,8,12,6,2026.77
5.684,1.74,3.608,6.94,4,6,6,24,24,36,2027.15
5.358,1.911,2.695,7.08,2,2,1,4,2,2,2027.46
5.139,2.232,2.617,5.54,2,1,3,2,6,3,2027.58
5.409,1.931,3.886,5.11,3,1,2,3,6,2,2027.96
5.156,2.679,1.905,9.47,4,3,3,12,12,9,2028.08
5.387,2.318,2.995,6.72,3,4,1,12,3,4,2028.11
5.143,2.536,2.086,3.38,1,7,3,7,3,21,2028.26
5.27,1.72,2.614,7.1,3,6,2,18,6,12,2028.37
5.438,1.89,2.41,6.44,4,4,5,16,20,20,2028.39
5.358,1.911,2.695,7.08,2,2,1,4,2,2,2028.55
5.27,1.72,2.614,7.1,3,6,2,18,6,12,2028.71
5.139,2.232,2.617,5.54,2,1,3,2,6,3,2028.92
5.226,2.202,2.495,3.69,4,4,1,16,4,4,2028.99
5.527,2.975,2.113,6.71,3,7,1,21,3,7,2029.37
5.305,2.547,2.526,7.95,4,3,1,12,4,3,2029.53
5.469,2.498,2.293,8.66,1,6,4,6,4,24,2029.57
5.383,1.709,2.635,6.4,5,5,7,25,35,35,2029.68
5.489,1.557,2.786,3.98,5,2,7,10,35,14,2029.74
5.344,1.828,2.769,5.09,5,2,4,10,20,8,2029.9
5.214,1.947,1.974,8.85,1,5,4,5,4,20,2029.91
5.287,2.688,1.961,9.57,2,7,4,14,8,28,2030.09
5.156,2.679,1.905,9.47,4,3,3,12,12,9,2030.48
5.684,1.74,3.608,6.94,4,6,6,24,24,36,2030.72
5.329,2.152,2.23,6.11,5,2,1,10,5,2,2030.89
5.329,2.103,2.201,6.09,3,6,3,18,9,18,2031.43
5.558,1.63,2.087,7.33,2,1,5,2,10,5,2031.7
5.329,2.152,2.23,6.11,5,2,1,10,5,2,2032.06
5.27,2.562,1.963,9.73,4,7,2,28,8,14,2032.35
5.344,1.828,2.769,5.09,5,2,4,10,20,8,2032.55
5.471,1.766,2.473,9.87,3,5,3,15,9,15,2032.57
5.662,2.129,1.723,8.28,1,1,5,1,5,5,2032.7
5.298,2.102,2.199,4.94,3,6,3,18,9,18,2032.79
5.153,1.947,1.968,7.11,1,5,1,5,1,5,2032.82
5.482,2.199,3.174,9.45,3,3,2,9,6,6,2033.59
5.477,2.208,2.777,6.45,2,2,1,4,2,2,2033.64
5.349,1.91,2.695,8.44,2,2,1,4,2,2,2034.58
5.507,2.2,3.173,4.7,3,3,4,9,12,12,2034.97
5.507,2.2,3.173,4.7,3,3,4,9,12,12,2035.05
5.582,2.175,2.809,8.61,3,3,2,9,6,6,2035.64
5.153,1.947,1.968,7.11,1,5,1,5,1,5,2035.73
5.45,1.76,2.843,5.08,2,6,7,12,14,42,2035.85
5.283,2.636,2.529,7.1,4,6,4,24,16,24,2036.24
5.454,1.983,2.326,3.06,5,2,4,10,20,8,2036.47
5.323,2.029,1.904,4.57,2,5,5,10,10,25,2036.77
5.471,1.766,2.473,9.87,3,5,3,15,9,15,2036.91
5.419,2.165,2.407,3.39,5,5,5,25,25,25,2037.05
5.323,2.029,1.904,4.57,2,5,5,10,10,25,2037.16
5.361,2.11,2.578,7.99,3,6,3,18,9,18,2037.38
5.329,2.103,2.201,6.09,3,6,3,18,9,18,2037.82
5.515,2.789,2.842,6.46,3,4,2,12,6,8,2037.95
5.283,2.636,2.529,7.1,4,6,4,24,16,24,2038.37
5.342,2.25,2.631,8.71,3,1,2,3,6,2,2039.43
5.459,3.144,2.924,6.64,1,4,4,4,4,16,2039.63
5.735,1.902,3.337,7.68,4,1,6,4,24,6,2039.68
5.32,2.104,2.196,7.16,3,6,1,18,3,6,2040.15
5.163,2.979,2.353,3.27,4,2,1,8,4,2,2040.24
5.412,2.066,2.926,4.22,1,5,3,5,3,15,2040.4
5.49,2.418,2.63,5.38,5,6,7,30,35,42,2040.86
5.558,1.63,2.087,7.33,2,1,5,2,10,5,2041.42
5.514,2.2,3.169,3.31,3,3,1,9,3,3,2041.42
5.502,2.047,3.078,9.3,4,2,4,8,16,8,2041.65
5.292,3.035,2.335,9.32,4,1,1,4,4,1,2041.69
5.662,2.129,1.723,8.28,1,1,5,1,5,5,2041.73
5.56,2.791,2.847,3.27,3,4,2,12,6,8,2042.12
5.366,2.148,2.225,5.66,5,2,4,10,20,8,2042.14
5.434,2.734,2.468,7.01,5,3,5,15,25,15,2042.48
5.361,2.11,2.578,7.99,3,6,3,18,9,18,2043
5.514,2.2,3.169,3.31,3,3,1,9,3,3,2043.35
5.542,2.995,2.554,8.12,4,4,1,16,4,4,2043.37
5.453,1.865,2.335,9.57,4,5,7,20,28,35,2043.81
5.564,1.479,2.301,3.44,3,7,5,21,15,35,2043.92
5.459,3.144,2.924,6.64,1,4,4,4,4,16,2044.05
5.216,1.716,2.621,8.81,3,6,1,18,3,6,2044.28
5.395,2.299,2.927,4.75,3,7,3,21,9,21,2044.72
5.29,3.031,2.335,8.07,4,1,1,4,4,1,2045
5.342,2.25,2.631,8.71,3,1,2,3,6,2,2045.57
5.324,2.295,2.93,6.09,3,7,1,21,3,7,2046.05
5.408,1.986,3.702,4.95,1,6,1,6,1,6,2046.12
5.408,1.986,3.702,4.95,1,6,1,6,1,6,2046.25
5.11,2.978,2.355,3.28,4,2,3,8,12,6,2046.26
5.434,2.734,2.468,7.01,5,3,5,15,25,15,2046.71
5.451,2.734,2.474,6.01,5,3,1,15,5,3,2046.92
5.366,2.148,2.225,5.66,5,2,4,10,20,8,2047.34
5.451,2.734,2.474,6.01,5,3,1,15,5,3,2047.6
5.46,1.586,1.925,6.51,4,7,7,28,28,49,2048.12
5.216,1.716,2.621,8.81,3,6,1,18,3,6,2048.76
5.52,3.054,2.727,3.65,3,1,4,3,12,4,2049.41
5.551,2.198,3.169,7.28,3,3,3,9,9,9,2049.54
5.401,1.579,2.126,4.22,1,7,5,7,5,35,2049.58
5.373,2.249,2.623,9.48,3,1,1,3,3,1,2049.61
5.3,1.949,2.955,4.2,2,1,5,2,10,5,2049.78
5.52,3.054,2.727,3.65,3,1,4,3,12,4,2049.81
5.32,2.179,2.148,8.87,4,1,5,4,20,5,2050.34
5.469,2.718,2.4,6.12,5,6,5,30,25,30,2050.37
5.551,2.198,3.169,7.28,3,3,3,9,9,9,2050.37
5.29,3.031,2.335,8.07,4,1,1,4,4,1,2050.89
5.541,1.672,2.617,7.98,2,3,6,6,12,18,2050.92
5.506,2.975,2.107,8.8,3,7,3,21,9,21,2051.91
5.367,2.024,1.902,8.31,2,5,5,10,10,25,2051.97
5.506,1.697,2.293,3.96,1,6,5,6,5,30,2052.05
5.251,1.798,2.496,7.56,5,6,5,30,25,30,2052.15
5.292,3.035,2.335,9.32,4,1,1,4,4,1,2052.23
5.506,1.697,2.293,3.96,1,6,5,6,5,30,2052.41
5.251,1.573,2.118,4.9,3,2,3,6,9,6,2052.6
5.603,1.904,2.883,5.5,5,2,5,10,25,10,2052.63
5.251,1.798,2.496,7.56,5,6,5,30,25,30,2052.92
5.32,2.179,2.148,8.87,4,1,5,4,20,5,2053.51
5.397,2.369,2.576,9.02,3,6,2,18,6,12,2053.58
5.451,1.934,3.888,8.18,3,1,3,3,9,3,2054.55
5.513,1.719,2.753,5.48,3,7,5,21,15,35,2054.66
5.541,1.672,2.617,7.98,2,3,6,6,12,18,2054.94
5.121,2.683,1.902,8.49,4,3,2,12,8,6,2055.29
5.636,1.373,2.291,6.29,1,4,7,4,7,28,2055.39
5.358,2.931,1.812,4.43,4,5,5,20,20,25,2055.62
5.431,1.931,3.894,4.38,3,1,2,3,6,2,2055.63
5.347,2.062,2.79,8.26,5,6,5,30,25,30,2055.69
5.538,2.176,2.801,3.9,3,3,5,9,15,15,2055.79
5.417,3.076,3.298,4.53,3,1,1,3,3,1,2055.99
5.431,1.931,3.894,4.38,3,1,2,3,6,2,2056.09
5.506,2.975,2.107,8.8,3,7,3,21,9,21,2056.09
5.421,2.272,2.359,9.55,4,1,5,4,20,5,2056.1
5.575,2.083,2.135,4.61,4,6,7,24,28,42,2056.35
5.469,2.718,2.4,6.12,5,6,5,30,25,30,2056.44
5.341,2.68,2.239,5.49,2,5,7,10,14,35,2056.51
5.13,2.23,2.619,6.71,2,1,2,2,4,2,2056.53
5.46,1.586,1.925,6.51,4,7,7,28,28,49,2056.75
5.417,1.935,3.888,5.25,3,1,2,3,6,2,2056.85
5.575,2.083,2.135,4.61,4,6,7,24,28,42,2056.86
5.421,2.272,2.359,9.55,4,1,5,4,20,5,2056.87
5.417,1.464,2.366,4.21,5,4,7,20,35,28,2057.06
5.373,2.249,2.623,9.48,3,1,1,3,3,1,2057.16
5.426,2.379,2.562,3.15,1,1,5,1,5,5,2057.21
5.636,1.373,2.291,6.29,1,4,7,4,7,28,2057.5
5.417,1.935,3.888,5.25,3,1,2,3,6,2,2057.5
5.326,2.297,2.937,7.05,3,7,4,21,12,28,2057.65
5.417,3.076,3.298,4.53,3,1,1,3,3,1,2057.66
5.238,1.72,2.62,5.69,3,6,3,18,9,18,2057.86
5.326,2.297,2.937,7.05,3,7,4,21,12,28,2057.97
5.239,1.799,2.496,4.18,5,6,7,30,35,42,2058.03
5.121,2.683,1.902,8.49,4,3,2,12,8,6,2058.1
5.234,2.688,1.958,9.27,2,7,3,14,6,21,2058.49
5.608,1.876,2.788,5.37,5,6,6,30,30,36,2058.66
5.236,2.987,2.464,5.66,4,1,4,4,16,4,2058.86
5.476,2.32,2.375,4.58,2,4,7,8,14,28,2058.9
5.537,2.239,2.542,9.33,2,6,5,12,10,30,2058.91
5.238,1.72,2.62,5.69,3,6,3,18,9,18,2058.94
5.538,2.176,2.801,3.9,3,3,5,9,15,15,2059.05
5.517,3.051,2.729,7.66,3,1,3,3,9,3,2059.08
5.513,1.719,2.753,5.48,3,7,5,21,15,35,2059.16
5.517,3.051,2.729,7.66,3,1,3,3,9,3,2059.24
5.629,2.021,2.743,4.22,2,2,5,4,10,10,2059.57
5.449,2.071,2.928,7.18,1,5,7,5,7,35,2059.64
5.454,1.712,2.633,9.73,5,5,6,25,30,30,2059.66
5.35,1.575,2.125,6.4,1,7,7,7,7,49,2060.27
5.469,3.051,2.733,8.68,3,1,3,3,9,3,2060.33
5.241,2.547,2.532,7.69,4,3,1,12,4,3,2060.47
5.241,2.547,2.532,7.69,4,3,1,12,4,3,2060.54
5.238,1.854,2.519,7.31,4,3,5,12,20,15,2061.39
5.394,3.076,3.299,3.01,3,1,2,3,6,2,2061.47
5.397,2.677,2.314,3.29,2,3,7,6,14,21,2061.49
5.288,2.285,2.216,5.17,3,2,1,6,3,2,2061.7
5.348,2.919,2.172,3.22,4,7,5,28,20,35,2061.76
5.288,2.285,2.216,5.17,3,2,1,6,3,2,2061.8
5.424,1.831,2.793,9.09,4,3,7,12,28,21,2061.81
5.342,2.677,2.317,3.05,2,3,7,6,14,21,2061.82
5.266,1.951,2.953,7.1,2,1,5,2,10,5,2061.88
5.449,2.071,2.928,7.18,1,5,7,5,7,35,2061.98
5.448,2.21,2.776,8.45,2,2,3,4,6,6,2062.33
5.266,1.951,2.953,7.1,2,1,5,2,10,5,2062.7
5.405,1.853,2.2,7.56,1,6,5,6,5,30,2063.18
5.413,3.051,2.722,4.98,3,1,3,3,9,3,2063.32
5.264,1.721,2.62,9.85,3,6,3,18,9,18,2063.34
5.499,1.56,2.318,9.58,1,1,7,1,7,7,2063.56
5.295,2.074,2.051,5.18,4,7,5,28,20,35,2063.58
5.13,2.23,2.619,6.71,2,1,2,2,4,2,2063.62
5.229,3.032,2.335,6.04,4,1,1,4,4,1,2064.17
5.156,2.518,2.094,5.89,2,7,4,14,8,28,2064.25
5.418,1.921,3.171,7.78,2,3,5,6,10,15,2064.36
5.297,2.684,1.955,6.75,2,7,5,14,10,35,2064.4
5.46,2.071,2.93,7.81,1,5,7,5,7,35,2064.47
5.295,2.074,2.051,5.18,4,7,5,28,20,35,2064.58
5.122,2.622,1.657,7.45,1,4,2,4,2,8,2064.8
5.264,1.721,2.62,9.85,3,6,3,18,9,18,2064.8
5.6,1.878,2.787,4.58,5,6,6,30,30,36,2064.86
5.457,1.561,2.314,5.62,1,1,5,1,5,5,2065.24
5.43,3.144,2.926,9,1,4,4,4,4,16,2065.37
5.46,2.071,2.93,7.81,1,5,7,5,7,35,2065.43
5.071,2.618,1.658,3.1,1,4,4,4,4,16,2065.61
5.397,2.677,2.314,3.29,2,3,7,6,14,21,2065.69
5.366,1.63,2.604,4.6,4,4,7,16,28,28,2065.87
5.348,2.919,2.172,3.22,4,7,5,28,20,35,2066.04
5.49,2.468,2.022,8.33,1,6,5,6,5,30,2066.2
5.37,2.053,2.346,8.93,4,6,7,24,28,42,2066.22
5.392,2.161,3.135,7.27,2,1,5,2,10,5,2066.25
